Field [mT]	Moment [Am^2]	Fitted Moment [Am^2]
-12.78	-2.6907e+00	-8.8098e+00
-12.69	-2.5669e+00	-8.7246e+00
-12.59	-2.4427e+00	-8.6394e+00
-12.49	-2.3063e+00	-8.5538e+00
-12.40	-2.1745e+00	-8.4685e+00
-12.30	-2.0525e+00	-8.3836e+00
-12.20	-1.9194e+00	-8.2978e+00
-12.10	-1.7832e+00	-8.2130e+00
-12.00	-1.6447e+00	-8.1275e+00
-11.90	-1.5096e+00	-8.0435e+00
-11.79	-1.3725e+00	-7.9589e+00
-11.69	-1.2423e+00	-7.8756e+00
-11.59	-1.1145e+00	-7.7914e+00
-11.49	-9.7984e-01	-7.7085e+00
-11.39	-8.5325e-01	-7.6251e+00
-11.28	-7.3034e-01	-7.5421e+00
-11.18	-5.9704e-01	-7.4586e+00
-11.08	-4.7038e-01	-7.3762e+00
-10.97	-3.4671e-01	-7.2929e+00
-10.87	-2.2072e-01	-7.2110e+00
-10.76	-7.8200e-02	-7.1276e+00
-10.65	4.2498e-02	-7.0461e+00
-10.55	1.5959e-01	-6.9613e+00
-10.44	2.8818e-01	-6.8808e+00
-10.33	4.1891e-01	-6.7961e+00
-10.23	5.4225e-01	-6.7157e+00
-10.12	6.7175e-01	-6.6314e+00
-10.01	7.9062e-01	-6.5512e+00
-9.90	9.2097e-01	-6.4661e+00
-9.79	1.0407e+00	-6.3853e+00
-9.68	1.1622e+00	-6.2999e+00
-9.57	1.2769e+00	-6.2192e+00
-9.46	1.4018e+00	-6.1342e+00
-9.35	1.5303e+00	-6.0533e+00
-9.24	1.6563e+00	-5.9686e+00
-9.13	1.7761e+00	-5.8878e+00
-9.02	1.9016e+00	-5.8033e+00
-8.91	2.0086e+00	-5.7227e+00
-8.79	2.1253e+00	-5.6387e+00
-8.68	2.2411e+00	-5.5584e+00
-8.57	2.3662e+00	-5.4749e+00
-8.46	2.4895e+00	-5.3959e+00
-8.34	2.6159e+00	-5.3128e+00
-8.23	2.7226e+00	-5.2344e+00
-8.11	2.8352e+00	-5.1521e+00
-8.00	2.9456e+00	-5.0746e+00
-7.88	3.0618e+00	-4.9932e+00
-7.77	3.1770e+00	-4.9158e+00
-7.65	3.2889e+00	-4.8348e+00
-7.53	3.3962e+00	-4.7575e+00
-7.42	3.5138e+00	-4.6762e+00
-7.30	3.6251e+00	-4.5989e+00
-7.18	3.7463e+00	-4.5178e+00
-7.07	3.8480e+00	-4.4399e+00
-6.95	3.9615e+00	-4.3582e+00
-6.83	4.0720e+00	-4.2795e+00
-6.71	4.1797e+00	-4.1971e+00
-6.59	4.2766e+00	-4.1179e+00
-6.47	4.3804e+00	-4.0349e+00
-6.36	4.4815e+00	-3.9559e+00
-6.24	4.5893e+00	-3.8731e+00
-6.12	4.6951e+00	-3.7944e+00
-6.00	4.8017e+00	-3.7120e+00
-5.88	4.9086e+00	-3.6337e+00
-5.76	5.0203e+00	-3.5521e+00
-5.64	5.1135e+00	-3.4746e+00
-5.51	5.2225e+00	-3.3947e+00
-5.40	5.3228e+00	-3.3187e+00
-5.27	5.4206e+00	-3.2402e+00
-5.15	5.5279e+00	-3.1653e+00
-5.03	5.6348e+00	-3.0877e+00
-4.91	5.7237e+00	-3.0140e+00
-4.79	5.8221e+00	-2.9376e+00
-4.67	5.9241e+00	-2.8651e+00
-4.54	6.0254e+00	-2.7897e+00
-4.42	6.1193e+00	-2.7174e+00
-4.30	6.2169e+00	-2.6417e+00
-4.18	6.3114e+00	-2.5687e+00
-4.05	6.4089e+00	-2.4927e+00
-3.93	6.4925e+00	-2.4189e+00
-3.80	6.5864e+00	-2.3425e+00
-3.68	6.6739e+00	-2.2677e+00
-3.56	6.7786e+00	-2.1899e+00
-3.44	6.8736e+00	-2.1138e+00
-3.31	6.9568e+00	-2.0349e+00
-3.19	7.0412e+00	-1.9583e+00
-3.06	7.1238e+00	-1.8790e+00
-2.94	7.2194e+00	-1.8026e+00
-2.82	7.3143e+00	-1.7238e+00
-2.69	7.3951e+00	-1.6479e+00
-2.57	7.4825e+00	-1.5702e+00
-2.44	7.5630e+00	-1.4948e+00
-2.32	7.6571e+00	-1.4175e+00
-2.19	7.7400e+00	-1.3430e+00
-2.07	7.8190e+00	-1.2662e+00
-1.94	7.9139e+00	-1.1918e+00
-1.82	8.0099e+00	-1.1151e+00
-1.69	8.0857e+00	-1.0400e+00
-1.57	8.1760e+00	-9.6297e-01
-1.44	8.2591e+00	-8.8785e-01
-1.32	8.3287e+00	-8.1061e-01
-1.19	8.4097e+00	-7.3510e-01
-1.07	8.5085e+00	-6.5830e-01
-0.94	8.5958e+00	-5.8289e-01
-0.81	8.6679e+00	-5.0557e-01
-0.69	8.7416e+00	-4.3020e-01
-0.56	8.8253e+00	-3.5265e-01
-0.44	8.9000e+00	-2.7717e-01
-0.31	8.9744e+00	-1.9933e-01
-0.19	9.0514e+00	-1.2347e-01
-0.06	9.1339e+00	-4.4684e-02
0.06	9.2416e+00	4.3030e-02
0.19	9.3179e+00	1.2347e-01
0.31	9.3921e+00	1.9933e-01
0.44	9.4620e+00	2.7717e-01
0.56	9.5254e+00	3.5265e-01
0.69	9.6077e+00	4.3020e-01
0.81	9.6734e+00	5.0557e-01
0.94	9.7470e+00	5.8289e-01
1.07	9.8232e+00	6.5830e-01
1.19	9.9100e+00	7.3510e-01
1.32	9.9609e+00	8.1061e-01
1.44	1.0028e+01	8.8785e-01
1.57	1.0104e+01	9.6297e-01
1.69	1.0168e+01	1.0400e+00
1.82	1.0236e+01	1.1151e+00
1.94	1.0302e+01	1.1918e+00
2.07	1.0360e+01	1.2662e+00
2.19	1.0430e+01	1.3430e+00
2.32	1.0490e+01	1.4175e+00
2.44	1.0552e+01	1.4948e+00
2.57	1.0621e+01	1.5702e+00
2.69	1.0689e+01	1.6479e+00
2.82	1.0750e+01	1.7238e+00
2.94	1.0817e+01	1.8026e+00
3.06	1.0881e+01	1.8790e+00
3.19	1.0953e+01	1.9583e+00
3.31	1.0998e+01	2.0349e+00
3.44	1.1058e+01	2.1138e+00
3.56	1.1119e+01	2.1899e+00
3.68	1.1183e+01	2.2677e+00
3.80	1.1240e+01	2.3425e+00
3.93	1.1304e+01	2.4189e+00
4.05	1.1368e+01	2.4927e+00
4.18	1.1417e+01	2.5687e+00
4.30	1.1474e+01	2.6417e+00
4.42	1.1550e+01	2.7174e+00
4.54	1.1599e+01	2.7897e+00
4.67	1.1655e+01	2.8651e+00
4.79	1.1713e+01	2.9376e+00
4.91	1.1765e+01	3.0140e+00
5.03	1.1825e+01	3.0877e+00
5.15	1.1882e+01	3.1653e+00
5.27	1.1935e+01	3.2402e+00
5.40	1.2000e+01	3.3187e+00
5.51	1.2050e+01	3.3947e+00
5.64	1.2096e+01	3.4746e+00
5.76	1.2150e+01	3.5521e+00
5.88	1.2202e+01	3.6337e+00
6.00	1.2259e+01	3.7120e+00
6.12	1.2311e+01	3.7944e+00
6.24	1.2362e+01	3.8731e+00
6.36	1.2406e+01	3.9559e+00
6.47	1.2445e+01	4.0349e+00
6.59	1.2499e+01	4.1179e+00
6.71	1.2559e+01	4.1971e+00
6.83	1.2614e+01	4.2795e+00
6.95	1.2660e+01	4.3582e+00
7.07	1.2709e+01	4.4399e+00
7.18	1.2763e+01	4.5178e+00
7.30	1.2813e+01	4.5989e+00
7.42	1.2856e+01	4.6762e+00
7.53	1.2913e+01	4.7575e+00
7.65	1.2956e+01	4.8348e+00
7.77	1.3002e+01	4.9158e+00
7.88	1.3052e+01	4.9932e+00
8.00	1.3093e+01	5.0746e+00
8.11	1.3141e+01	5.1521e+00
8.23	1.3189e+01	5.2344e+00
8.34	1.3235e+01	5.3128e+00
8.46	1.3276e+01	5.3959e+00
8.57	1.3321e+01	5.4749e+00
8.68	1.3373e+01	5.5584e+00
8.79	1.3409e+01	5.6387e+00
8.91	1.3457e+01	5.7227e+00
9.02	1.3510e+01	5.8033e+00
9.13	1.3549e+01	5.8878e+00
9.24	1.3579e+01	5.9686e+00
9.35	1.3622e+01	6.0533e+00
9.46	1.3673e+01	6.1342e+00
9.57	1.3713e+01	6.2192e+00
9.68	1.3752e+01	6.2999e+00
9.79	1.3796e+01	6.3853e+00
9.90	1.3839e+01	6.4661e+00
10.01	1.3893e+01	6.5512e+00
10.12	1.3927e+01	6.6314e+00
10.23	1.3963e+01	6.7157e+00
10.33	1.4004e+01	6.7961e+00
10.44	1.4049e+01	6.8808e+00
10.55	1.4087e+01	6.9613e+00
10.65	1.4129e+01	7.0461e+00
10.76	1.4166e+01	7.1276e+00
10.87	1.4200e+01	7.2110e+00
10.97	1.4247e+01	7.2929e+00
11.08	1.4288e+01	7.3762e+00
11.18	1.4327e+01	7.4586e+00
11.28	1.4365e+01	7.5421e+00
11.39	1.4395e+01	7.6251e+00
11.49	1.4434e+01	7.7085e+00
11.59	1.4472e+01	7.7914e+00
11.69	1.4506e+01	7.8756e+00
11.79	1.4552e+01	7.9589e+00
11.90	1.4593e+01	8.0435e+00
12.00	1.4635e+01	8.1275e+00
12.10	1.4670e+01	8.2130e+00
12.20	1.4708e+01	8.2978e+00
12.30	1.4744e+01	8.3836e+00
12.40	1.4778e+01	8.4685e+00
12.49	1.4818e+01	8.5538e+00
12.59	1.4854e+01	8.6394e+00
12.69	1.4891e+01	8.7246e+00
12.78	1.4922e+01	8.8098e+00
12.88	1.4962e+01	8.8948e+00
12.97	1.4991e+01	8.9809e+00
13.07	1.5030e+01	9.0666e+00
13.16	1.5058e+01	9.1532e+00
13.26	1.5091e+01	9.2393e+00
13.35	1.5128e+01	9.3260e+00
13.45	1.5156e+01	9.4120e+00
13.54	1.5190e+01	9.4987e+00
13.63	1.5220e+01	9.5849e+00
13.72	1.5256e+01	9.6721e+00
13.81	1.5302e+01	9.7577e+00
13.90	1.5329e+01	9.8435e+00
13.99	1.5354e+01	9.9294e+00
14.08	1.5401e+01	1.0015e+01
14.17	1.5438e+01	1.0101e+01
14.26	1.5465e+01	1.0186e+01
14.35	1.5503e+01	1.0272e+01
14.44	1.5529e+01	1.0356e+01
14.52	1.5557e+01	1.0442e+01
14.61	1.5582e+01	1.0526e+01
14.69	1.5607e+01	1.0611e+01
14.78	1.5657e+01	1.0695e+01
14.86	1.5705e+01	1.0780e+01
14.95	1.5724e+01	1.0863e+01
15.03	1.5743e+01	1.0948e+01
15.11	1.5788e+01	1.1031e+01
15.20	1.5822e+01	1.1115e+01
15.28	1.5832e+01	1.1197e+01
15.36	1.5872e+01	1.1281e+01
15.44	1.5908e+01	1.1364e+01
15.52	1.5949e+01	1.1447e+01
15.60	1.5975e+01	1.1530e+01
15.67	1.6003e+01	1.1613e+01
15.75	1.6030e+01	1.1695e+01
15.83	1.6057e+01	1.1777e+01
15.91	1.6092e+01	1.1859e+01
15.98	1.6121e+01	1.1942e+01
16.06	1.6141e+01	1.2023e+01
16.13	1.6174e+01	1.2106e+01
16.21	1.6196e+01	1.2187e+01
16.28	1.6234e+01	1.2269e+01
16.35	1.6262e+01	1.2350e+01
16.42	1.6292e+01	1.2432e+01
16.49	1.6315e+01	1.2513e+01
16.57	1.6342e+01	1.2595e+01
16.64	1.6377e+01	1.2676e+01
16.71	1.6407e+01	1.2758e+01
16.77	1.6438e+01	1.2839e+01
16.84	1.6466e+01	1.2919e+01
16.91	1.6490e+01	1.3000e+01
16.98	1.6518e+01	1.3080e+01
17.04	1.6557e+01	1.3161e+01
17.11	1.6581e+01	1.3241e+01
17.17	1.6598e+01	1.3322e+01
17.24	1.6619e+01	1.3402e+01
17.30	1.6650e+01	1.3482e+01
17.36	1.6679e+01	1.3560e+01
17.42	1.6701e+01	1.3639e+01
17.49	1.6716e+01	1.3718e+01
17.55	1.6745e+01	1.3797e+01
17.61	1.6767e+01	1.3875e+01
17.66	1.6816e+01	1.3953e+01
17.72	1.6829e+01	1.4031e+01
17.78	1.6862e+01	1.4108e+01
17.84	1.6894e+01	1.4185e+01
17.90	1.6909e+01	1.4262e+01
17.95	1.6929e+01	1.4337e+01
18.01	1.6944e+01	1.4414e+01
18.06	1.6976e+01	1.4488e+01
18.11	1.6989e+01	1.4563e+01
18.17	1.7017e+01	1.4636e+01
18.22	1.7035e+01	1.4710e+01
18.27	1.7050e+01	1.4781e+01
18.32	1.7083e+01	1.4854e+01
18.37	1.7105e+01	1.4924e+01
18.42	1.7116e+01	1.4996e+01
18.47	1.7156e+01	1.5065e+01
18.52	1.7176e+01	1.5135e+01
18.56	1.7188e+01	1.5202e+01
18.61	1.7206e+01	1.5265e+01
18.65	1.7225e+01	1.5334e+01
18.70	1.7259e+01	1.5398e+01
18.74	1.7280e+01	1.5465e+01
18.79	1.7290e+01	1.5527e+01
18.83	1.7295e+01	1.5592e+01
18.87	1.7322e+01	1.5652e+01
18.91	1.7340e+01	1.5716e+01
18.95	1.7365e+01	1.5774e+01
18.99	1.7372e+01	1.5836e+01
19.03	1.7392e+01	1.5891e+01
19.07	1.7396e+01	1.5951e+01
19.11	1.7425e+01	1.6005e+01
19.14	1.7435e+01	1.6063e+01
19.18	1.7459e+01	1.6114e+01
19.21	1.7455e+01	1.6170e+01
19.25	1.7475e+01	1.6220e+01
19.28	1.7487e+01	1.6274e+01
19.31	1.7509e+01	1.6321e+01
19.35	1.7519e+01	1.6371e+01
19.38	1.7531e+01	1.6417e+01
19.41	1.7547e+01	1.6470e+01
19.44	1.7558e+01	1.6510e+01
19.47	1.7578e+01	1.6559e+01
19.50	1.7580e+01	1.6599e+01
19.53	1.7572e+01	1.6646e+01
19.55	1.7591e+01	1.6682e+01
19.58	1.7613e+01	1.6727e+01
19.60	1.7610e+01	1.6761e+01
19.63	1.7607e+01	1.6804e+01
19.65	1.7616e+01	1.6837e+01
19.68	1.7631e+01	1.6876e+01
19.70	1.7655e+01	1.6905e+01
19.72	1.7643e+01	1.6943e+01
19.74	1.7645e+01	1.6970e+01
19.76	1.7639e+01	1.7004e+01
19.78	1.7655e+01	1.7029e+01
19.80	1.7663e+01	1.7060e+01
19.81	1.7647e+01	1.7083e+01
19.83	1.7657e+01	1.7113e+01
19.84	1.7666e+01	1.7134e+01
19.86	1.7666e+01	1.7161e+01
19.87	1.7673e+01	1.7179e+01
19.89	1.7666e+01	1.7205e+01
19.90	1.7664e+01	1.7220e+01
19.91	1.7662e+01	1.7243e+01
19.92	1.7664e+01	1.7255e+01
19.94	1.7667e+01	1.7276e+01
19.94	1.7666e+01	1.7286e+01
19.95	1.7651e+01	1.7304e+01
19.96	1.7642e+01	1.7311e+01
19.97	1.7647e+01	1.7326e+01
19.97	1.7640e+01	1.7331e+01
19.98	1.7641e+01	1.7342e+01
19.98	1.7625e+01	1.7347e+01
19.99	1.7622e+01	1.7354e+01
19.99	1.7564e+01	1.7359e+01
