Field [mT]	Moment [Am^2]	Fitted Moment [Am^2]
10.55	-1.7269e-01	6.9613e+00
10.44	-2.9191e-01	6.8808e+00
10.33	-4.1724e-01	6.7961e+00
10.23	-5.3862e-01	6.7157e+00
10.12	-6.6817e-01	6.6314e+00
10.01	-7.9493e-01	6.5512e+00
9.90	-9.2521e-01	6.4661e+00
9.79	-1.0334e+00	6.3853e+00
9.68	-1.1530e+00	6.2999e+00
9.57	-1.2852e+00	6.2192e+00
9.46	-1.4117e+00	6.1342e+00
9.35	-1.5340e+00	6.0533e+00
9.24	-1.6497e+00	5.9686e+00
9.13	-1.7663e+00	5.8878e+00
9.02	-1.8971e+00	5.8033e+00
8.91	-2.0073e+00	5.7227e+00
8.79	-2.1341e+00	5.6387e+00
8.68	-2.2535e+00	5.5584e+00
8.57	-2.3687e+00	5.4749e+00
8.46	-2.4899e+00	5.3959e+00
8.34	-2.5945e+00	5.3128e+00
8.23	-2.7161e+00	5.2344e+00
8.11	-2.8475e+00	5.1521e+00
8.00	-2.9525e+00	5.0746e+00
7.88	-3.0612e+00	4.9932e+00
7.77	-3.1734e+00	4.9158e+00
7.65	-3.2903e+00	4.8348e+00
7.53	-3.3917e+00	4.7575e+00
7.42	-3.5170e+00	4.6762e+00
7.30	-3.6318e+00	4.5989e+00
7.18	-3.7352e+00	4.5178e+00
7.07	-3.8496e+00	4.4399e+00
6.95	-3.9652e+00	4.3582e+00
6.83	-4.0744e+00	4.2795e+00
6.71	-4.1792e+00	4.1971e+00
6.59	-4.2721e+00	4.1179e+00
6.47	-4.3771e+00	4.0349e+00
6.36	-4.4850e+00	3.9559e+00
6.24	-4.5862e+00	3.8731e+00
6.12	-4.6976e+00	3.7944e+00
6.00	-4.8104e+00	3.7120e+00
5.88	-4.9059e+00	3.6337e+00
5.76	-5.0159e+00	3.5521e+00
5.64	-5.1151e+00	3.4746e+00
5.51	-5.2160e+00	3.3947e+00
5.40	-5.3272e+00	3.3187e+00
5.27	-5.4273e+00	3.2402e+00
5.15	-5.5242e+00	3.1653e+00
5.03	-5.6262e+00	3.0877e+00
4.91	-5.7276e+00	3.0140e+00
4.79	-5.8296e+00	2.9376e+00
4.67	-5.9204e+00	2.8651e+00
4.54	-6.0251e+00	2.7897e+00
4.42	-6.1184e+00	2.7174e+00
4.30	-6.2139e+00	2.6417e+00
4.18	-6.3127e+00	2.5687e+00
4.05	-6.4097e+00	2.4927e+00
3.93	-6.4957e+00	2.4189e+00
3.80	-6.5863e+00	2.3425e+00
3.68	-6.6786e+00	2.2677e+00
3.56	-6.7715e+00	2.1899e+00
3.44	-6.8694e+00	2.1138e+00
3.31	-6.9535e+00	2.0349e+00
3.19	-7.0407e+00	1.9583e+00
3.06	-7.1358e+00	1.8790e+00
2.94	-7.2211e+00	1.8026e+00
2.82	-7.3109e+00	1.7238e+00
2.69	-7.3901e+00	1.6479e+00
2.57	-7.4807e+00	1.5702e+00
2.44	-7.5744e+00	1.4948e+00
2.32	-7.6499e+00	1.4175e+00
2.19	-7.7297e+00	1.3430e+00
2.07	-7.8306e+00	1.2662e+00
1.94	-7.9244e+00	1.1918e+00
1.82	-8.0026e+00	1.1151e+00
1.69	-8.0814e+00	1.0400e+00
1.57	-8.1744e+00	9.6297e-01
1.44	-8.2527e+00	8.8785e-01
1.32	-8.3355e+00	8.1061e-01
1.19	-8.4212e+00	7.3510e-01
1.07	-8.4998e+00	6.5830e-01
0.94	-8.5889e+00	5.8289e-01
0.81	-8.6736e+00	5.0557e-01
0.69	-8.7387e+00	4.3020e-01
0.56	-8.8226e+00	3.5265e-01
0.44	-8.9048e+00	2.7717e-01
0.31	-8.9793e+00	1.9933e-01
0.19	-9.0541e+00	1.2347e-01
0.06	-9.1255e+00	4.3030e-02
-0.06	-9.2415e+00	-4.4684e-02
-0.19	-9.3222e+00	-1.2347e-01
-0.31	-9.3888e+00	-1.9933e-01
-0.44	-9.4584e+00	-2.7717e-01
-0.56	-9.5302e+00	-3.5265e-01
-0.69	-9.6036e+00	-4.3020e-01
-0.81	-9.6808e+00	-5.0557e-01
-0.94	-9.7475e+00	-5.8289e-01
-1.07	-9.8229e+00	-6.5830e-01
-1.19	-9.8930e+00	-7.3510e-01
-1.32	-9.9631e+00	-8.1061e-01
-1.44	-1.0046e+01	-8.8785e-01
-1.57	-1.0106e+01	-9.6297e-01
-1.69	-1.0162e+01	-1.0400e+00
-1.82	-1.0236e+01	-1.1151e+00
-1.94	-1.0297e+01	-1.1918e+00
-2.07	-1.0358e+01	-1.2662e+00
-2.19	-1.0431e+01	-1.3430e+00
-2.32	-1.0493e+01	-1.4175e+00
-2.44	-1.0553e+01	-1.4948e+00
-2.57	-1.0621e+01	-1.5702e+00
-2.69	-1.0684e+01	-1.6479e+00
-2.82	-1.0753e+01	-1.7238e+00
-2.94	-1.0820e+01	-1.8026e+00
-3.06	-1.0879e+01	-1.8790e+00
-3.19	-1.0938e+01	-1.9583e+00
-3.31	-1.1008e+01	-2.0349e+00
-3.44	-1.1069e+01	-2.1138e+00
-3.56	-1.1114e+01	-2.1899e+00
-3.68	-1.1181e+01	-2.2677e+00
-3.80	-1.1241e+01	-2.3425e+00
-3.93	-1.1298e+01	-2.4189e+00
